"text","timestamp"
"👏👏","2023-09-06T12:31:53.000Z"
"Gostaria de saber do certificado do curso que fiz de limpeza facial no macapaba? Nunca recebi 😐😐","2023-09-06T12:34:32.000Z"
"Parabéns ao coordenador @ianmowbray pelo trabalho e empenho 👏👏💪💪 é a Prefeitura de Macapá de coração pelo nosso povo! 💪","2023-09-06T12:40:35.000Z"
"👏👏👏👏","2023-09-06T12:44:07.000Z"
"Quero de informática word 5 meses tem que ser o tempo de duração pq é muita coisa pra aprender logo🙌 vou tá ligada quando tiver!","2023-09-06T12:46:40.000Z"
"Posso me inscrever em mais de um ?","2023-09-06T12:50:46.000Z"
"👏👏👏 gestao eficiente fornecendo crescimento profissional para seus munícipes, parabéns @ianmowbray e secretário @costajr.raimundo!","2023-09-06T12:51:03.000Z"
"@karinalinzs 👏","2023-09-06T12:52:51.000Z"
"@ingridymachado_ 👏","2023-09-06T12:52:57.000Z"
"@andriele5678 Olá, Andriele! Iremos encaminhar sua sugestão ao setor responsável","2023-09-06T12:53:52.000Z"
"@flamqs 😍❤️","2023-09-06T12:53:58.000Z"
"@patricia_consultorafinanceira ❤️","2023-09-06T12:54:02.000Z"
"Contato repassado nme chega msg, medo de quando responder as vagas ja estejam preenchidas 🤡","2023-09-06T12:56:25.000Z"
"Ninguém responde nesse número","2023-09-06T12:56:27.000Z"
"Bela iniciativa. Esperando os cursos para os jovens no bairro Novo Horizonte/zona norte.","2023-09-06T12:59:29.000Z"
"Seria um sonho conseguir uma vaga","2023-09-06T13:04:15.000Z"
"Poderiam fazer o curso de trancista","2023-09-06T13:04:35.000Z"
"@amandaneves__25 Ola, me envie mensagem 981385860.","2023-09-06T13:06:31.000Z"
"@alinne.silva.educ Olá, Alinne! Em breve estaremos aí","2023-09-06T13:08:09.000Z"
"E no Araxa vai ter?","2023-09-06T13:22:28.000Z"
"Bom dia a partir de qual idade?","2023-09-06T13:47:01.000Z"
"CURSO DE TRANCISTA!","2023-09-06T13:49:23.000Z"
"FAZ UM CURSO DE TRANCISTA,,, ME CHAMA PARA SER INSTRUTOR","2023-09-06T13:49:37.000Z"
"ALÔ @prefeiturademacapa FAZ UM CURSO DE TRANCISTA E ME CHAMA PARA SER INSTRUTOR","2023-09-06T13:50:09.000Z"
"@amandaneves__25  venha no PV , posso lhe dá a informação para receber","2023-09-06T14:02:39.000Z"
"Novo horizonte aguardando por isso tbm 🙌🙌","2023-09-06T14:45:14.000Z"
"Deveria ter em todos os bairros","2023-09-06T14:50:45.000Z"
"@mandyquaresma ainda tem eu acho acabei de me escrever eles estao ate respondendo rapido","2023-09-06T14:52:00.000Z"
"@patriciabritopiris33 Olá, Patrícia! Iremos encaminhar sua demanda ao setor responsável","2023-09-06T15:03:14.000Z"
"👏👏👏👏👏👏","2023-09-06T19:12:22.000Z"
"quero é ônibus pro Infraero2 mana, fiquei 1h30 no sol esperando e acabei tendo que pegar lotação por conta da incompetência da prefeitura. tô cagando dinheiro não viu, sou estudante e estagiária. mandem mais ônibus pro Infraero2!!!","2023-09-06T20:34:56.000Z"
"Qual concurso público?","2023-09-06T21:48:44.000Z"
"👏👏👏","2023-09-07T00:07:17.000Z"
"@rosilane_mira queria saber também","2023-09-07T19:31:12.000Z"
"@samia_vilhena 💖","2023-09-08T11:52:39.000Z"
"@andyn_borges Olá, Andyn! Em breve estaremos aí","2023-09-08T11:52:51.000Z"
"@adv.veronicealves 🤩❤️","2023-09-08T11:52:56.000Z"
"@juliane.lopes25 🤩❤️","2023-09-08T11:53:12.000Z"
"Esses cursos e pras pessoas do marabaixo","2023-09-08T22:01:12.000Z"
"Aí lindo😍","2023-09-06T19:35:02.000Z"
"❤️","2023-09-06T19:41:17.000Z"
"👏👏👏😍😍😍","2023-09-06T20:05:07.000Z"
"Legal","2023-09-06T20:10:18.000Z"
"❤️","2023-09-07T00:06:45.000Z"
